"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Media Studio","921189980843663360","Keep up the GREAT work. I am with you 100%!

""ISIS is losing its grip...""
Army Colonel Ryan Dillon
CJTF–OIR
https://t.co/jVGuvv5mzm https://t.co/PSCXg38CtS","Fri Oct 20 01:43:00 +0000 2017",12948,NA,55541,FALSE
"Twitter for iPhone","921113816053755904","It was great to have Governor @RicardoRossello of #PuertoRico<U+0001F1F5><U+0001F1F7>with us at the @WhiteHouse today. We are with you! #PRStrong https://t.co/Op2xDZxvNc","Thu Oct 19 20:40:21 +0000 2017",11028,NA,50193,FALSE
"Twitter for iPhone","920989237276762112","RT @USArmy333: @804StreetMedia @realDonaldTrump He’s done more in 9 months then obama did in8 yrs","Thu Oct 19 12:25:19 +0000 2017",8415,NA,0,TRUE
"Twitter for iPhone","920988223362469891",".@foxandfriends ""Russia sent millions to Clinton Foundation""","Thu Oct 19 12:21:18 +0000 2017",23830,NA,73035,FALSE
"Twitter for iPhone","920981920787386368","Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?","Thu Oct 19 11:56:15 +0000 2017",26139,NA,88012,FALSE
"Twitter for iPhone","920972261032648705","Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!","Thu Oct 19 11:17:52 +0000 2017",40651,NA,120166,FALSE
"Twitter for iPhone","920966294035451904","Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?","Thu Oct 19 10:54:09 +0000 2017",13566,NA,72482,FALSE
"Twitter for iPhone","920847844759699456","""46% of Americans think the Media is inventing stories about Trump &amp; his Administration."" @FoxNews   It is actually much worse than this!","Thu Oct 19 03:03:29 +0000 2017",19268,NA,84057,FALSE
"Twitter for iPhone","920794597265088512",".@DanaPerino &amp; @BradThor,
Thank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH","Wed Oct 18 23:31:54 +0000 2017",10559,NA,44591,FALSE
"Twitter for iPhone","920783976784171008","""20,000<U+0001F4C8>21,000<U+0001F4C8>22,000<U+0001F4C8> 23,000<U+0001F4C8>this year...FOUR one thousand milestones this year..."" 
#Dow23K #MAGA https://t.co/GQ5f2eVvEI","Wed Oct 18 22:49:42 +0000 2017",14454,NA,57977,FALSE
"Twitter for iPhone","920776302231244800","This is what REAL PRIDE in our COUNTRY is all about! #USA<U+0001F1FA><U+0001F1F8> https://t.co/kyv866prdE","Wed Oct 18 22:19:12 +0000 2017",18196,NA,70464,FALSE
"Twitter for iPhone","920751863426842625",".@NFL: Too much talk, not enough action. Stand for the National Anthem.","Wed Oct 18 20:42:05 +0000 2017",23044,NA,98961,FALSE
"Media Studio","920733077349064707","""Iran hides behind its assertion of technical compliance w/the nuclear deal, while it brazenly violates the other limits..""
Amb. @NikkiHaley https://t.co/xvHgx7d1cT","Wed Oct 18 19:27:26 +0000 2017",11941,NA,42384,FALSE
