"word","2013-2016","year","proportion"
"kaatje",4.50097671194649e-06,"2017-2020",NA
"kabul",NA,"2017-2020",4.50097671194649e-06
"kaburuole",4.50097671194649e-06,"2017-2020",NA
"kacee",4.50097671194649e-06,"2017-2020",NA
"kaceyilliot",2.25048835597325e-06,"2017-2020",NA
"kaeladianne",6.75146506791974e-06,"2017-2020",NA
"kaepernick",NA,"2017-2020",2.25048835597325e-06
"kag",NA,"2017-2020",0.000247553719157057
"kagame",NA,"2017-2020",2.25048835597325e-06
"kahd",2.25048835597325e-06,"2017-2020",NA
"kahn",NA,"2017-2020",9.00195342389298e-06
"kai",2.25048835597325e-06,"2017-2020",NA
"kaiame",4.50097671194649e-06,"2017-2020",NA
"kaijympje",NA,"2017-2020",2.25048835597325e-06
"kailash",2.25048835597325e-06,"2017-2020",NA
"kaine",5.62622088993312e-05,"2017-2020",2.25048835597325e-06
"kaiser",2.25048835597325e-06,"2017-2020",NA
"kaitlancollins",NA,"2017-2020",6.75146506791974e-06
"kaitlin",4.50097671194649e-06,"2017-2020",NA
"kakatshozi",2.25048835597325e-06,"2017-2020",NA
"kakf",NA,"2017-2020",2.25048835597325e-06
"kakjoy",2.25048835597325e-06,"2017-2020",NA
"kakyqo",2.25048835597325e-06,"2017-2020",NA
"kaleb",NA,"2017-2020",2.25048835597325e-06
"kalevans",9.00195342389298e-06,"2017-2020",NA
"kaljulaid",NA,"2017-2020",2.25048835597325e-06
"kalozap",2.25048835597325e-06,"2017-2020",NA
"kalpnipyuv",NA,"2017-2020",2.25048835597325e-06
"kamala",NA,"2017-2020",5.85126972553044e-05
"kamalaharris",NA,"2017-2020",1.57534184918127e-05
"kamerakeith",2.25048835597325e-06,"2017-2020",NA
"kameron",NA,"2017-2020",2.25048835597325e-06
"kameronwhitley",2.25048835597325e-06,"2017-2020",NA
"kamin",2.25048835597325e-06,"2017-2020",NA
"kamp",2.25048835597325e-06,"2017-2020",NA
"kamsunited",2.25048835597325e-06,"2017-2020",NA
"kamvtv",NA,"2017-2020",1.12524417798662e-05
"kamwaters",2.25048835597325e-06,"2017-2020",NA
"kanbari",NA,"2017-2020",2.25048835597325e-06
"kandacec",2.25048835597325e-06,"2017-2020",NA
"kandahar",2.25048835597325e-06,"2017-2020",NA
"kane",6.75146506791974e-06,"2017-2020",NA
"kangaro",NA,"2017-2020",4.50097671194649e-06
"kangaroo",NA,"2017-2020",1.35029301358395e-05
"kangdedy",4.50097671194649e-06,"2017-2020",NA
"kanikagahlaut",2.25048835597325e-06,"2017-2020",NA
"kansans",NA,"2017-2020",2.25048835597325e-06
"kansas",2.7005860271679e-05,"2017-2020",6.07631856112777e-05
"kansascaucus",2.25048835597325e-06,"2017-2020",NA
"kanstalwart",2.25048835597325e-06,"2017-2020",NA
"kantei",NA,"2017-2020",4.50097671194649e-06
"kanye",NA,"2017-2020",1.8003906847786e-05
"kanyewest",NA,"2017-2020",4.50097671194649e-06
"kaplunm",2.25048835597325e-06,"2017-2020",NA
"kaqlsjq",NA,"2017-2020",2.25048835597325e-06
"kara",2.25048835597325e-06,"2017-2020",NA
"karabeckley",2.25048835597325e-06,"2017-2020",NA
"karat",2.25048835597325e-06,"2017-2020",NA
"karatemomccm",2.25048835597325e-06,"2017-2020",NA
"karbala",NA,"2017-2020",2.25048835597325e-06
"kardashians",4.50097671194649e-06,"2017-2020",NA
"karen",4.50097671194649e-06,"2017-2020",3.82583020515452e-05
"karenash",2.25048835597325e-06,"2017-2020",NA
"karenh",4.50097671194649e-06,"2017-2020",NA
"karenhandel",NA,"2017-2020",9.00195342389298e-06
"karenhaywood",4.50097671194649e-06,"2017-2020",NA
"karenmonsour",2.25048835597325e-06,"2017-2020",NA
"karentalk",1.57534184918127e-05,"2017-2020",NA
"kari",2.25048835597325e-06,"2017-2020",NA
"karidaway",2.25048835597325e-06,"2017-2020",NA
"kariganfam",2.25048835597325e-06,"2017-2020",NA
"karileakennedy",4.50097671194649e-06,"2017-2020",NA
"karinhousley",NA,"2017-2020",2.25048835597325e-06
"karl",8.10175808150369e-05,"2017-2020",2.25048835597325e-06
"karlan",NA,"2017-2020",2.25048835597325e-06
"karlbstumpf",2.25048835597325e-06,"2017-2020",NA
"karlie",2.25048835597325e-06,"2017-2020",NA
"karliejanowski",2.25048835597325e-06,"2017-2020",NA
"karlrove",0.000146281743138261,"2017-2020",6.75146506791974e-06
"karlrove's",4.50097671194649e-06,"2017-2020",NA
"karlthemarx",2.25048835597325e-06,"2017-2020",NA
"karluskap",NA,"2017-2020",2.25048835597325e-06
"karma",NA,"2017-2020",4.50097671194649e-06
"karol",2.25048835597325e-06,"2017-2020",NA
"karsynsharp",2.25048835597325e-06,"2017-2020",NA
"karzai",9.00195342389298e-06,"2017-2020",NA
"kasek",2.25048835597325e-06,"2017-2020",NA
"kasey",2.25048835597325e-06,"2017-2020",NA
"kash",NA,"2017-2020",4.50097671194649e-06
"kashmir",NA,"2017-2020",2.25048835597325e-06
"kasich",0.000141780766426315,"2017-2020",1.35029301358395e-05
"kasick",2.25048835597325e-06,"2017-2020",NA
"kasie",2.25048835597325e-06,"2017-2020",NA
"kaskman",2.25048835597325e-06,"2017-2020",NA
"kassam",NA,"2017-2020",4.50097671194649e-06
"kaswds",2.25048835597325e-06,"2017-2020",NA
"kaszie",2.25048835597325e-06,"2017-2020",NA
"kat",4.50097671194649e-06,"2017-2020",9.00195342389298e-06
"kata",4.50097671194649e-06,"2017-2020",NA
"katdhairstudio",6.75146506791974e-06,"2017-2020",NA
"kate",5.17612321873847e-05,"2017-2020",2.02543952037592e-05
"kate's",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"katebug",4.50097671194649e-06,"2017-2020",NA
"kategoselin",2.25048835597325e-06,"2017-2020",NA
"katek",2.25048835597325e-06,"2017-2020",NA
"katelyn",NA,"2017-2020",2.25048835597325e-06
"katemorgan",2.25048835597325e-06,"2017-2020",NA
"kateplu",2.25048835597325e-06,"2017-2020",NA
"kateplusmy",2.47553719157057e-05,"2017-2020",NA
"kateslaw",NA,"2017-2020",1.12524417798662e-05
"kateupton",2.25048835597325e-06,"2017-2020",NA
"kateywhitey",2.25048835597325e-06,"2017-2020",NA
"kathe",2.25048835597325e-06,"2017-2020",NA
"katherine",1.35029301358395e-05,"2017-2020",NA
"katherinenecn",2.25048835597325e-06,"2017-2020",NA
"katherinetrunk",2.25048835597325e-06,"2017-2020",NA
"katherinewebb",2.25048835597325e-05,"2017-2020",NA
"katherinewebb's",2.25048835597325e-06,"2017-2020",NA
"kathielgifford",6.75146506791974e-06,"2017-2020",NA
"kathlee",2.25048835597325e-06,"2017-2020",NA
"kathleen",9.00195342389298e-06,"2017-2020",2.25048835597325e-06
"kathleenlove",2.25048835597325e-06,"2017-2020",NA
"kathomas",2.25048835597325e-06,"2017-2020",NA
"kathryn",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"kathviner",4.50097671194649e-06,"2017-2020",NA
"kathy",6.75146506791974e-06,"2017-2020",4.50097671194649e-06
"kathyboudin",2.25048835597325e-06,"2017-2020",NA
"kathyceurter",2.25048835597325e-06,"2017-2020",NA
"kathykphillips",6.75146506791974e-06,"2017-2020",NA
"kathylooper",2.25048835597325e-06,"2017-2020",NA
"kathypenree",2.25048835597325e-06,"2017-2020",NA
"kathypica",2.25048835597325e-06,"2017-2020",NA
"kathyrushford",2.25048835597325e-06,"2017-2020",NA
"kathyshirer",2.25048835597325e-06,"2017-2020",NA
"kathysimovski",2.25048835597325e-06,"2017-2020",NA
"kathystone",6.75146506791974e-06,"2017-2020",NA
"kathystrube",NA,"2017-2020",2.25048835597325e-06
"kathyth",2.25048835597325e-06,"2017-2020",NA
"kathytravels",2.25048835597325e-06,"2017-2020",NA
"kathzeh",2.25048835597325e-06,"2017-2020",NA
"katie",1.57534184918127e-05,"2017-2020",2.47553719157057e-05
"katie's",2.25048835597325e-06,"2017-2020",NA
"katiecouric",6.75146506791974e-06,"2017-2020",NA
"katiedaviscourt",2.25048835597325e-06,"2017-2020",NA
"katiedoodlebug",2.25048835597325e-06,"2017-2020",NA
"katiekms",2.25048835597325e-06,"2017-2020",NA
"katielevan",2.25048835597325e-06,"2017-2020",NA
"katiemacla",2.25048835597325e-06,"2017-2020",NA
"katiemariebes",2.25048835597325e-06,"2017-2020",NA
"katiepavlich",6.75146506791974e-06,"2017-2020",4.50097671194649e-05
"katieshow",9.00195342389298e-06,"2017-2020",NA
"katiesinex",2.25048835597325e-06,"2017-2020",NA
"katietennis",2.25048835597325e-06,"2017-2020",NA
"katilynn",2.25048835597325e-06,"2017-2020",NA
"katlbbfja",2.25048835597325e-06,"2017-2020",NA
"katlynne",2.25048835597325e-06,"2017-2020",NA
"katmur",2.25048835597325e-06,"2017-2020",NA
"katrina",2.25048835597325e-06,"2017-2020",9.00195342389298e-06
"katrinacampins",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"katrinadevita",2.25048835597325e-06,"2017-2020",NA
"katrinapierson",1.35029301358395e-05,"2017-2020",4.72602554754382e-05
"katrinatrinko",NA,"2017-2020",2.25048835597325e-06
"katrinotrinko",2.25048835597325e-06,"2017-2020",NA
"katt",2.25048835597325e-06,"2017-2020",NA
"katwatson",2.25048835597325e-06,"2017-2020",NA
"katxxwm",2.25048835597325e-06,"2017-2020",NA
"katy",2.25048835597325e-06,"2017-2020",NA
"katygolf",4.50097671194649e-06,"2017-2020",NA
"katyperry",1.35029301358395e-05,"2017-2020",NA
"katysutherland",2.25048835597325e-06,"2017-2020",NA
"katyturnbc",1.35029301358395e-05,"2017-2020",NA
"kauainj",4.50097671194649e-06,"2017-2020",NA
"kausmickey",2.25048835597325e-06,"2017-2020",NA
"kauts",2.25048835597325e-06,"2017-2020",NA
"kavanaugh",NA,"2017-2020",0.000139530278070341
"kavanough",NA,"2017-2020",2.25048835597325e-06
"kavemanrj",2.25048835597325e-06,"2017-2020",NA
"kavm",NA,"2017-2020",2.25048835597325e-06
"kaw",2.25048835597325e-06,"2017-2020",NA
"kawaiibitchx",4.50097671194649e-06,"2017-2020",NA
"kawasaki",2.25048835597325e-06,"2017-2020",NA
"kawsteel",2.25048835597325e-06,"2017-2020",NA
"kay",1.12524417798662e-05,"2017-2020",9.00195342389298e-06
"kayajones",NA,"2017-2020",4.50097671194649e-06
"kaybee",2.25048835597325e-06,"2017-2020",NA
"kayceelaw",2.25048835597325e-06,"2017-2020",NA
"kaycolesjames",NA,"2017-2020",2.25048835597325e-06
"kayjaybutton",2.25048835597325e-06,"2017-2020",NA
"kayla",2.25048835597325e-06,"2017-2020",NA
"kayleigh",4.50097671194649e-06,"2017-2020",1.35029301358395e-05
"kayleighmcenany",6.75146506791974e-06,"2017-2020",8.32680691710101e-05
"kaylorcc",2.25048835597325e-06,"2017-2020",NA
"kaylyme",NA,"2017-2020",2.25048835597325e-06
"kaymer",4.50097671194649e-06,"2017-2020",NA
"kayne",NA,"2017-2020",2.25048835597325e-06
"kayun",2.25048835597325e-06,"2017-2020",NA
"kayvbb",2.25048835597325e-06,"2017-2020",NA
"kaywiggs",2.25048835597325e-06,"2017-2020",NA
"kayyyygeeeee",2.25048835597325e-06,"2017-2020",NA
"kazakhstan",NA,"2017-2020",2.25048835597325e-06
"kazianis",NA,"2017-2020",2.25048835597325e-06
"kazmierskir",2.25048835597325e-06,"2017-2020",NA
"kb",2.25048835597325e-06,"2017-2020",NA
"kba",2.25048835597325e-06,"2017-2020",NA
"kbaileyjava",2.25048835597325e-06,"2017-2020",NA
"kbdtazxezg",2.25048835597325e-06,"2017-2020",NA
"kbetter",2.25048835597325e-06,"2017-2020",NA
"kbg",NA,"2017-2020",2.25048835597325e-06
"kbherman",2.25048835597325e-06,"2017-2020",NA
"kbjjd",NA,"2017-2020",2.25048835597325e-06
"kbkladnmpq",NA,"2017-2020",2.25048835597325e-06
"kbmc",2.25048835597325e-06,"2017-2020",NA
"kbnvyoizkf",2.25048835597325e-06,"2017-2020",NA
"kbprcsxet",2.25048835597325e-06,"2017-2020",NA
"kbrocking",6.75146506791974e-06,"2017-2020",NA
"kbrozz",2.25048835597325e-06,"2017-2020",NA
"kbsalsaud",NA,"2017-2020",2.25048835597325e-06
"kbsos",NA,"2017-2020",2.25048835597325e-06
"kbssidhu",2.25048835597325e-06,"2017-2020",NA
"kbtl",NA,"2017-2020",2.25048835597325e-06
"kbujgjhhzw",NA,"2017-2020",2.25048835597325e-06
"kbuyi",2.25048835597325e-06,"2017-2020",NA
"kbyl",NA,"2017-2020",2.25048835597325e-06
"kc",4.50097671194649e-06,"2017-2020",4.50097671194649e-06
"kcautv",2.25048835597325e-06,"2017-2020",NA
"kcbonfeibv",NA,"2017-2020",2.25048835597325e-06
"kcbyfcxoel",NA,"2017-2020",2.25048835597325e-06
"kccinews",2.25048835597325e-06,"2017-2020",NA
"kcdz",NA,"2017-2020",2.25048835597325e-06
"kcef",2.25048835597325e-06,"2017-2020",NA
"kcg",NA,"2017-2020",2.25048835597325e-06
"kcha",2.25048835597325e-06,"2017-2020",NA
"kcj",4.50097671194649e-06,"2017-2020",NA
"kckw",NA,"2017-2020",2.25048835597325e-06
"kckziktuwm",NA,"2017-2020",2.25048835597325e-06
"kclbsfalkm",NA,"2017-2020",2.25048835597325e-06
"kclivegreen",2.25048835597325e-06,"2017-2020",NA
"kcmdedsutw",2.25048835597325e-06,"2017-2020",NA
"kcp",2.25048835597325e-06,"2017-2020",NA
"kcpdwtmjv",NA,"2017-2020",2.25048835597325e-06
"kcrg",2.25048835597325e-06,"2017-2020",NA
"kctpkrwdy",NA,"2017-2020",2.25048835597325e-06
"kctslnn",NA,"2017-2020",2.25048835597325e-06
"kcwtl",NA,"2017-2020",2.25048835597325e-06
"kd",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"kda",2.25048835597325e-06,"2017-2020",NA
"kdanielsk",9.00195342389298e-06,"2017-2020",NA
"kdawnpatterson",4.50097671194649e-06,"2017-2020",NA
"kdcgbmiest",NA,"2017-2020",2.25048835597325e-06
"kdd",NA,"2017-2020",2.25048835597325e-06
"kdgybefeoi",NA,"2017-2020",2.25048835597325e-06
"kdharris",2.25048835597325e-06,"2017-2020",NA
"kdhh",NA,"2017-2020",2.25048835597325e-06
"kdhnsmm",NA,"2017-2020",2.25048835597325e-06
"kdjeyvkzmb",NA,"2017-2020",2.25048835597325e-06
"kdk",2.25048835597325e-06,"2017-2020",NA
"kdka",NA,"2017-2020",4.50097671194649e-06
"kdkpgyangv",2.25048835597325e-06,"2017-2020",NA
"kdorr",NA,"2017-2020",6.75146506791974e-06
"kdoycqwuqi",2.25048835597325e-06,"2017-2020",NA
"kdprqxsed",2.25048835597325e-06,"2017-2020",NA
"kdvaydkzla",NA,"2017-2020",2.25048835597325e-06
"kdvzouia",2.25048835597325e-06,"2017-2020",NA
"kdybxqvcuf",2.25048835597325e-06,"2017-2020",NA
"ke",6.75146506791974e-06,"2017-2020",9.00195342389298e-06
"kealoha",NA,"2017-2020",2.25048835597325e-06
"keane",NA,"2017-2020",6.75146506791974e-06
"kearsarge",NA,"2017-2020",2.25048835597325e-06
"keatsben",1.35029301358395e-05,"2017-2020",NA
"kecstivms",NA,"2017-2020",2.25048835597325e-06
"keeblerqueen",4.50097671194649e-06,"2017-2020",NA
"keeganbcall",2.25048835597325e-06,"2017-2020",NA
"keegs",2.25048835597325e-06,"2017-2020",NA
"keegster",6.75146506791974e-06,"2017-2020",NA
"keeli",2.25048835597325e-06,"2017-2020",NA
"keemstarx",6.75146506791974e-06,"2017-2020",NA
"keenwzed",NA,"2017-2020",2.25048835597325e-06
"keep",2.25048835597325e-06,"2017-2020",NA
"keepam",NA,"2017-2020",2.25048835597325e-06
"keepameric",NA,"2017-2020",2.25048835597325e-06
"keepamericagreat",NA,"2017-2020",2.92563486276522e-05
"keepcalm",2.25048835597325e-06,"2017-2020",NA
"keepcalmbc",2.25048835597325e-06,"2017-2020",NA
"keepenterprising",2.25048835597325e-06,"2017-2020",NA
"keeperofthecup",NA,"2017-2020",2.25048835597325e-06
"keepfighting",2.25048835597325e-06,"2017-2020",NA
"keepi",NA,"2017-2020",2.25048835597325e-06
"keepin",2.25048835597325e-06,"2017-2020",NA
"keeping",6.30136739672509e-05,"2017-2020",0.000128277836290475
"keepingitreal",4.50097671194649e-06,"2017-2020",NA
"keeptheminbuffalo",2.25048835597325e-06,"2017-2020",NA
"keesler",NA,"2017-2020",2.25048835597325e-06
"kefq",2.25048835597325e-06,"2017-2020",NA
"keichri",2.25048835597325e-06,"2017-2020",NA
"keilanik",2.25048835597325e-06,"2017-2020",NA
"keiralley",2.25048835597325e-06,"2017-2020",NA
"keisha",4.50097671194649e-06,"2017-2020",NA
"keith",2.25048835597325e-06,"2017-2020",3.37573253395987e-05
"keithash",2.25048835597325e-06,"2017-2020",NA
"keithjmcconnell",2.25048835597325e-06,"2017-2020",NA
"keithr",2.25048835597325e-06,"2017-2020",NA
"keithrh",2.25048835597325e-06,"2017-2020",NA
"keithrowland",2.25048835597325e-06,"2017-2020",NA
"keiththoms",2.25048835597325e-06,"2017-2020",NA
"keithurban",2.25048835597325e-06,"2017-2020",NA
"keithwhittingt",2.25048835597325e-06,"2017-2020",NA
"keithwmcandrew",4.50097671194649e-06,"2017-2020",NA
"kekepania",2.25048835597325e-06,"2017-2020",NA
"keksec",1.8003906847786e-05,"2017-2020",NA
"kelbug",2.25048835597325e-06,"2017-2020",NA
"kellen",2.25048835597325e-06,"2017-2020",NA
"keller",NA,"2017-2020",1.35029301358395e-05
"kelley",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"kelli",NA,"2017-2020",2.25048835597325e-06
"kellie",NA,"2017-2020",2.25048835597325e-06
"kelliejo",2.25048835597325e-06,"2017-2020",NA
"kelliheathman",2.25048835597325e-06,"2017-2020",NA
"kellikm",2.25048835597325e-06,"2017-2020",NA
"kelliwardaz",NA,"2017-2020",2.25048835597325e-06
"kellmat",2.25048835597325e-06,"2017-2020",NA
"kellogg",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"kelly",6.97651390351706e-05,"2017-2020",9.67709993068496e-05
"kelly's",4.50097671194649e-06,"2017-2020",NA
"kellyandmichael",4.50097671194649e-06,"2017-2020",NA
"kellyanne",4.50097671194649e-06,"2017-2020",1.12524417798662e-05
"kellyannepolls",1.35029301358395e-05,"2017-2020",5.17612321873847e-05
"kellyfile",1.12524417798662e-05,"2017-2020",NA
"kellyfrias",2.25048835597325e-06,"2017-2020",NA
"kellygpiowa",2.25048835597325e-06,"2017-2020",NA
"kellyizthebest",2.25048835597325e-06,"2017-2020",NA
"kellyjeanturner",4.50097671194649e-06,"2017-2020",NA
"kellykoson",2.25048835597325e-06,"2017-2020",NA
"kellymckayshow",6.75146506791974e-06,"2017-2020",NA
"kellymorrisltd",2.25048835597325e-06,"2017-2020",NA
"kellypennett",2.25048835597325e-06,"2017-2020",NA
"kellyriddell",2.25048835597325e-06,"2017-2020",NA
"kellys",2.25048835597325e-06,"2017-2020",NA
"kellyz",2.25048835597325e-06,"2017-2020",NA
"kelsey",6.75146506791974e-06,"2017-2020",NA
"kelseyalxandraa",2.25048835597325e-06,"2017-2020",NA
"keltner",NA,"2017-2020",2.25048835597325e-06
"kemp",NA,"2017-2020",2.7005860271679e-05
"kemper",2.25048835597325e-06,"2017-2020",NA
"ken",4.50097671194649e-06,"2017-2020",4.50097671194649e-05
"kenansville",2.25048835597325e-06,"2017-2020",NA
"kenblackwell",NA,"2017-2020",2.25048835597325e-06
"kenblalock",2.25048835597325e-06,"2017-2020",NA
"kenbroadwater",2.25048835597325e-06,"2017-2020",NA
"kenbu",4.50097671194649e-06,"2017-2020",NA
"kencagerepo",2.25048835597325e-06,"2017-2020",NA
"kencalvert",NA,"2017-2020",9.00195342389298e-06
"kencampbell",2.25048835597325e-06,"2017-2020",NA
"kencee",2.25048835597325e-06,"2017-2020",NA
"kendallmcvey",2.25048835597325e-06,"2017-2020",NA
"kenjlthomson",2.25048835597325e-06,"2017-2020",NA
"kenjohnson",2.25048835597325e-06,"2017-2020",NA
"kenkelly",2.25048835597325e-06,"2017-2020",NA
"kenlangone",2.25048835597325e-06,"2017-2020",NA
"kenn",NA,"2017-2020",2.25048835597325e-06
"kennebec",NA,"2017-2020",2.25048835597325e-06
"kennedy",2.92563486276522e-05,"2017-2020",2.92563486276522e-05
"kennedygaels",2.25048835597325e-06,"2017-2020",NA
"kennedynation",NA,"2017-2020",2.25048835597325e-06
"kennel",2.25048835597325e-06,"2017-2020",NA
"kenneth",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"kennethhazlett",2.25048835597325e-06,"2017-2020",NA
"kennethlaguer",2.25048835597325e-06,"2017-2020",NA
"kennethsmithmd",2.25048835597325e-06,"2017-2020",NA
"kennicotasks",4.50097671194649e-06,"2017-2020",NA
"kennokevin",4.50097671194649e-06,"2017-2020",NA
"kenny",4.50097671194649e-06,"2017-2020",NA
"kennybud",2.25048835597325e-06,"2017-2020",NA
"kennyj",2.25048835597325e-06,"2017-2020",NA
"kennyking",2.25048835597325e-06,"2017-2020",NA
"kennymacaskill",6.75146506791974e-06,"2017-2020",NA
"kennymchardy",2.25048835597325e-06,"2017-2020",NA
"kennyp",2.25048835597325e-06,"2017-2020",NA
"kennysammartino",2.25048835597325e-06,"2017-2020",NA
"kennyshosho",2.25048835597325e-06,"2017-2020",NA
"kenofdfl",2.25048835597325e-06,"2017-2020",NA
"kenosha",NA,"2017-2020",3.82583020515452e-05
"kenpaxtontx",NA,"2017-2020",2.25048835597325e-06
"kenpettigrew",2.25048835597325e-06,"2017-2020",NA
"kenpgentry",NA,"2017-2020",2.25048835597325e-06
"kensingtonroyal",NA,"2017-2020",2.25048835597325e-06
"kenstarr",NA,"2017-2020",2.25048835597325e-06
"kent",NA,"2017-2020",1.35029301358395e-05
"kentbulle",2.25048835597325e-06,"2017-2020",NA
"kentoidi",2.25048835597325e-06,"2017-2020",NA
"kentstgolf",4.50097671194649e-06,"2017-2020",NA
"kenttucker",2.25048835597325e-06,"2017-2020",NA
"kentuckians",NA,"2017-2020",2.25048835597325e-06
"kentucky",4.95107438314114e-05,"2017-2020",0.000150782719850207
"kentuky",NA,"2017-2020",2.25048835597325e-06
"kenuckio",2.25048835597325e-06,"2017-2020",NA
"kenvogel",NA,"2017-2020",2.25048835597325e-06
"kenxm",NA,"2017-2020",2.25048835597325e-06
"kenya",4.95107438314114e-05,"2017-2020",6.75146506791974e-06
"kenya's",2.25048835597325e-06,"2017-2020",NA
"kenyamoore",7.87670924590636e-05,"2017-2020",NA
"kenyan",NA,"2017-2020",2.25048835597325e-06
"kenyatta",NA,"2017-2020",2.25048835597325e-06
"kenziestruder",2.25048835597325e-06,"2017-2020",NA
"kenziewilliams",2.25048835597325e-06,"2017-2020",NA
"kenzig",4.50097671194649e-06,"2017-2020",NA
"kenzoeblair",2.25048835597325e-06,"2017-2020",NA
"kepl",2.25048835597325e-06,"2017-2020",NA
"keqo",NA,"2017-2020",4.50097671194649e-06
"kequujeo",2.25048835597325e-06,"2017-2020",NA
"ker",2.25048835597325e-06,"2017-2020",NA
"keraladubai",2.25048835597325e-06,"2017-2020",NA
"kerens",NA,"2017-2020",2.25048835597325e-06
"kerim",2.25048835597325e-06,"2017-2020",NA
"kern",2.25048835597325e-06,"2017-2020",NA
"kerps",2.25048835597325e-06,"2017-2020",NA
"kerr",NA,"2017-2020",4.50097671194649e-06
"kerri",2.25048835597325e-06,"2017-2020",NA
"kerricj",2.25048835597325e-06,"2017-2020",NA
"kerrikupecdoj",NA,"2017-2020",1.57534184918127e-05
"kerrkerr",2.25048835597325e-06,"2017-2020",NA
"kerry",6.52641623232241e-05,"2017-2020",4.05087904075184e-05
"kerry's",2.25048835597325e-06,"2017-2020",NA
"kerrygold",1.8003906847786e-05,"2017-2020",NA
"kerrypicket",NA,"2017-2020",2.25048835597325e-06
"kerstikaljulaid",NA,"2017-2020",2.25048835597325e-06
"kesjenkins",4.50097671194649e-06,"2017-2020",NA
"kesw",NA,"2017-2020",2.25048835597325e-06
"ketay",NA,"2017-2020",2.25048835597325e-06
"kettering",2.25048835597325e-06,"2017-2020",NA
"keumfnohiv",NA,"2017-2020",2.25048835597325e-06
"kev",6.75146506791974e-06,"2017-2020",NA
"keval",2.25048835597325e-06,"2017-2020",NA
"kevcirilli",4.50097671194649e-06,"2017-2020",NA
"kevconnorsespn",2.25048835597325e-06,"2017-2020",NA
"kevcur",4.50097671194649e-06,"2017-2020",NA
"keven",2.25048835597325e-06,"2017-2020",NA
"kevhegarty",2.25048835597325e-06,"2017-2020",NA
"kevin",4.50097671194649e-05,"2017-2020",0.000155283696562154
"kevinb",2.25048835597325e-06,"2017-2020",NA
"kevincorke",NA,"2017-2020",2.25048835597325e-06
"kevincramer",NA,"2017-2020",2.25048835597325e-06
"kevindrako",2.25048835597325e-06,"2017-2020",NA
"kevingalyon",2.25048835597325e-06,"2017-2020",NA
"kevingsmithjr",2.25048835597325e-06,"2017-2020",NA
"kevinhart",2.25048835597325e-06,"2017-2020",NA
"kevinhite",2.25048835597325e-06,"2017-2020",NA
"kevinjonas",6.30136739672509e-05,"2017-2020",NA
"kevinm",2.25048835597325e-06,"2017-2020",NA
"kevinmacman",2.25048835597325e-06,"2017-2020",NA
"kevinmartinri",4.50097671194649e-06,"2017-2020",NA
"kevinmccarthy",NA,"2017-2020",2.25048835597325e-06
"kevinolearytv",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"kevinomccarthy",NA,"2017-2020",1.8003906847786e-05
"kevinrleyland",4.50097671194649e-06,"2017-2020",NA
"kevinsmoore",2.25048835597325e-06,"2017-2020",NA
"kevinvesey",NA,"2017-2020",2.25048835597325e-06
"kevinwarchie",2.25048835597325e-06,"2017-2020",NA
"kevinweatherbee",2.25048835597325e-06,"2017-2020",NA
"kevinyoder",NA,"2017-2020",4.50097671194649e-06
"kevredford",2.25048835597325e-06,"2017-2020",NA
"kevweezy",2.25048835597325e-06,"2017-2020",NA
"kew",2.25048835597325e-06,"2017-2020",NA
"kex",2.25048835597325e-06,"2017-2020",NA
"kexnikkqks",NA,"2017-2020",2.25048835597325e-06
"kexxsxlux",NA,"2017-2020",2.25048835597325e-06
"kexzz",NA,"2017-2020",2.25048835597325e-06
"key",9.00195342389298e-05,"2017-2020",9.67709993068496e-05
"keyagents",2.25048835597325e-06,"2017-2020",NA
"keyboard",NA,"2017-2020",2.25048835597325e-06
"keyboardbrian",2.25048835597325e-06,"2017-2020",NA
"keynote",3.60078136955719e-05,"2017-2020",6.75146506791974e-06
"keynoting",1.35029301358395e-05,"2017-2020",2.25048835597325e-06
"keyonmatters",2.25048835597325e-06,"2017-2020",NA
"keys",2.25048835597325e-06,"2017-2020",6.75146506791974e-06
"keystone",2.25048835597325e-05,"2017-2020",1.12524417798662e-05
"keystonepipeline",NA,"2017-2020",2.25048835597325e-06
"keysyone",2.25048835597325e-06,"2017-2020",NA
"keywestbravo",2.25048835597325e-06,"2017-2020",NA
"kf",NA,"2017-2020",4.50097671194649e-06
"kfa",2.25048835597325e-06,"2017-2020",NA
"kface",4.50097671194649e-06,"2017-2020",NA
"kfexkdpjge",NA,"2017-2020",2.25048835597325e-06
"kff",NA,"2017-2020",4.50097671194649e-06
"kfi",NA,"2017-2020",2.25048835597325e-06
"kfjv",2.25048835597325e-06,"2017-2020",NA
"kfmotmqfnn",2.25048835597325e-06,"2017-2020",NA
"kfolkqu",NA,"2017-2020",2.25048835597325e-06
"kfonkwa",2.25048835597325e-06,"2017-2020",NA
"kfp",NA,"2017-2020",2.25048835597325e-06
"kfrgheather",2.25048835597325e-06,"2017-2020",NA
"kfu",2.25048835597325e-06,"2017-2020",NA
