"word","2013-2016","year","proportion"
"ac",5.17612321873847e-05,"2017-2020",9.00195342389298e-06
"acaa",2.25048835597325e-06,"2017-2020",NA
"academia",NA,"2017-2020",2.25048835597325e-06
"academic",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"academics",4.50097671194649e-06,"2017-2020",NA
"academy",2.47553719157057e-05,"2017-2020",1.57534184918127e-05
"acamtoual",NA,"2017-2020",2.25048835597325e-06
"acarra",2.25048835597325e-06,"2017-2020",NA
"accelerate",NA,"2017-2020",4.50097671194649e-06
"accelerated",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"accentuate",2.25048835597325e-06,"2017-2020",NA
"accept",4.72602554754382e-05,"2017-2020",4.95107438314114e-05
"acceptable",4.50097671194649e-06,"2017-2020",4.27592787634917e-05
"acceptance",9.00195342389298e-06,"2017-2020",9.00195342389298e-06
"accepted",2.7005860271679e-05,"2017-2020",2.92563486276522e-05
"accepting",6.75146506791974e-06,"2017-2020",2.7005860271679e-05
"accepts",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"access",4.05087904075184e-05,"2017-2020",8.77690458829566e-05
"accessed",NA,"2017-2020",2.25048835597325e-06
"accesshollywood",4.50097671194649e-06,"2017-2020",NA
"accessibility",NA,"2017-2020",4.50097671194649e-06
"accessibl",NA,"2017-2020",2.25048835597325e-06
"accessible",NA,"2017-2020",4.50097671194649e-06
"accessories",2.25048835597325e-06,"2017-2020",NA
"accessory",2.25048835597325e-06,"2017-2020",NA
"accident",2.25048835597325e-06,"2017-2020",2.92563486276522e-05
"accidental",4.50097671194649e-06,"2017-2020",NA
"accidentally",4.50097671194649e-06,"2017-2020",6.75146506791974e-06
"accidents",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"acclaim",4.50097671194649e-06,"2017-2020",NA
"acclaimed",9.00195342389298e-06,"2017-2020",NA
"accolade",2.25048835597325e-06,"2017-2020",NA
"accolades",1.12524417798662e-05,"2017-2020",NA
"accommodating",2.25048835597325e-06,"2017-2020",NA
"accommodation",2.25048835597325e-06,"2017-2020",NA
"accommodations",1.12524417798662e-05,"2017-2020",2.25048835597325e-06
"accompanie",NA,"2017-2020",2.25048835597325e-06
"accompanied",NA,"2017-2020",2.25048835597325e-06
"accompany",NA,"2017-2020",2.25048835597325e-06
"accomplish",4.27592787634917e-05,"2017-2020",1.57534184918127e-05
"accomplished",2.7005860271679e-05,"2017-2020",9.45205109508763e-05
"accomplishing",NA,"2017-2020",1.35029301358395e-05
"accomplishment",1.57534184918127e-05,"2017-2020",9.00195342389298e-06
"accomplishments",2.47553719157057e-05,"2017-2020",4.72602554754382e-05
"accord",NA,"2017-2020",2.25048835597325e-05
"accordance",NA,"2017-2020",2.25048835597325e-06
"accords",NA,"2017-2020",6.75146506791974e-06
"accosted",NA,"2017-2020",2.25048835597325e-06
